id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Senior Staff,Paid,Cash,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,52785.32,52785.32,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,41401.58,41401.58,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45750.46,45750.46,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1335.0,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,500000.0,Director,Supervisor,Paid,Cash,S004,Supplier 4,P001,Heavy Equipment A,1.0,500000.0,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,95031.07,95031.07,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,1335.0,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,S002,Supplier 2,P001,Heavy Equipment A,2.0,500000.0,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,76088.96,76088.96,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,1246.0,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240104001,Sale,2024-01-04,2024-01-04,1041848.53,1041848.53,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1041848.53,Account Receviable,C014,52092.43,989756.1,800000.0,241848.53000000003
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,90880.3,90880.3,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,1246.0,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,97411.96,97411.96,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,1246.0,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,S010,Supplier 10,P003,Heavy Equipment C,2.0,1000000.0,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,13378.52,13378.52,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,1068.0,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,88037.49,88037.49,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,65994.77,65994.77,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,1068.0,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240108002,Sale,2024-01-08,2024-01-08,1378082.08,1378082.08,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1378082.08,Account Receviable,C009,68904.1,1309177.98,1000000.0,378082.0800000001
Purchase20231231006,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Supervisor,Paid,Bank Transfer,S008,Supplier 8,P004,Heavy Equipment D,2.0,1500000.0,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,24809.95,24809.95,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,801.0,801.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240109003,Sale,2024-01-09,2024-01-09,1488988.96,1488988.96,1000000.0,,,Paid,,,,P003,Heavy Equipment C,1.0,1488988.96,Cash,C019,74449.45,1414539.51,1000000.0,488988.95999999996
Purchase20231231007,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Supervisor,Paid,Bank Transfer,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,71239.16,71239.16,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Senior Staff,Paid,Cash,S001,Supplier 1,P003,Heavy Equipment C,2.0,1000000.0,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,49859.26,49859.26,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,55861.96,55861.96,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,79745.09,79745.09,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240113005,Sale,2024-01-13,2024-01-13,668830.84,668830.84,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,668830.84,Account Receviable,C007,33441.54,635389.3,500000.0,168830.83999999997
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,49981.5,49981.5,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,18888.02,18888.02,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240114007,Sale,2024-01-14,2024-01-14,658220.2,658220.2,500000.0,,,Paid,,,,P001,Heavy Equipment A,1.0,658220.2,Cash,C007,32911.01,625309.19,500000.0,158220.19999999995
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,85574.08,85574.08,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240115009,Sale,2024-01-15,2024-01-15,2106067.17,2106067.17,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2106067.17,Account Receviable,C006,105303.36,2000763.81,1500000.0,606067.1699999999
Purchase20231231009,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,S007,Supplier 7,P001,Heavy Equipment A,1.0,500000.0,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,46342.51,46342.51,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,685.3,685.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,S004,Supplier 4,P004,Heavy Equipment D,2.0,1500000.0,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,65029.92,65029.92,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,27874.13,27874.13,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,93224.76,93224.76,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240118012,Sale,2024-01-18,2024-01-18,1105445.95,1105445.95,800000.0,,,Paid,,,,P002,Heavy Equipment B,1.0,1105445.95,Cash,C003,55272.3,1050173.65,800000.0,305445.94999999995
Purchase20231231011,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Senior Staff,Paid,Cash,S005,Supplier 5,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,53910.46,53910.46,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240119014,Sale,2024-01-19,2024-01-19,2200530.42,2200530.42,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2200530.42,Account Receviable,C002,110026.52,2090503.9,1500000.0,700530.4199999999
Expense20240119001,Financial Expenses,2024-01-19,2024-01-19,18332.13,18332.13,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240120015,Sale,2024-01-20,2024-01-20,1497917.1,1497917.1,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1497917.1,Account Receviable,C013,74895.86,1423021.24,1000000.0,497917.1000000001
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,25333.67,25333.67,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,90283.2,90283.2,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,72579.27,72579.27,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240122018,Sale,2024-01-22,2024-01-22,1068710.96,1068710.96,800000.0,,,Paid,,,,P002,Heavy Equipment B,1.0,1068710.96,Cash,C014,53435.55,1015275.41,800000.0,268710.95999999996
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,18733.38,18733.38,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,13318.53,13318.53,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,85331.02,85331.02,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,95847.49,95847.49,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,40274.43,40274.43,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240125020,Sale,2024-01-25,2024-01-25,1328171.21,1328171.21,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1328171.21,Account Receviable,C001,66408.56,1261762.65,1000000.0,328171.20999999996
Expense20240125001,Administrative Expenses,2024-01-25,2024-01-25,21473.78,21473.78,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,37217.3,37217.3,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,418.29999999999995,418.29999999999995,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,800000.0,Director,Senior Staff,Paid,Bank Transfer,S009,Supplier 9,P002,Heavy Equipment B,2.0,800000.0,,,,,,
Expense20240126001,Administrative Expenses,2024-01-26,2024-01-26,64584.16,64584.16,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Expense20240126001,Financial Expenses,2024-01-26,2024-01-26,75582.46,75582.46,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,275.9,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240127001,Financial Expenses,2024-01-27,2024-01-27,78160.43,78160.43,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,98414.82,98414.82,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,275.9,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,55250.84,55250.84,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,275.9,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240129001,Sales Expenses,2024-01-29,2024-01-29,30839.26,30839.26,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,275.9,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P003,Heavy Equipment C,2.0,1000000.0,,,,,,
Transfer20240130001,Bank to cash transfer,2024-01-30,2024-01-30,1000000.0,1000000.0,,,,,,,,,,,,,,,,,
Expense20240130001,Financial Expenses,2024-01-30,2024-01-30,69587.16,69587.16,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,186.89999999999998,186.89999999999998,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240131001,Administrative Expenses,2024-01-31,2024-01-31,63215.67,63215.67,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240131001,Financial Expenses,2024-01-31,2024-01-31,77099.29,77099.29,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,186.89999999999998,186.89999999999998,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Transfer20240201001,Bank to cash transfer,2024-02-01,2024-02-01,1000000.0,1000000.0,,,,,,,,,,,,,,,,,
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,74316.36,74316.36,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,45748.42,45748.42,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,97.89999999999999,97.89999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240202001,Sales Expenses,2024-02-02,2024-02-02,60831.61,60831.61,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Expense20240202001,Financial Expenses,2024-02-02,2024-02-02,39264.18,39264.18,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,97.89999999999999,97.89999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240203001,Administrative Expenses,2024-02-03,2024-02-03,63621.12,63621.12,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,86695.4,86695.4,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,97.89999999999999,97.89999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240204001,Sales Expenses,2024-02-04,2024-02-04,81361.47,81361.47,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,97.89999999999999,97.89999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240205001,Administrative Expenses,2024-02-05,2024-02-05,27803.69,27803.69,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Expense20240205001,Financial Expenses,2024-02-05,2024-02-05,30030.33,30030.33,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,97.89999999999999,97.89999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,
