id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,asset_name,asset_type,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,540000.0,540000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S003,Supplier 3,P002,Chemical Product B,27.0,20000.0,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,9416.95,9416.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,32963.21,32963.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,37803.85,37803.85,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,27635.86,27635.86,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45765.700000000004,45765.700000000004,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,396.94,396.94,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,242704.16,242704.16,,,Paid,Bank Transfer,,S010,Supplier 10,,,,,,Storage Facilities4,Storage Facilities,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,2500000.0,2500000.0,Director,Supervisor,Paid,Bank Transfer,100000.0,S009,Supplier 9,P004,Chemical Product D,25.0,100000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,280000.0,280000.0,Director,Supervisor,Paid,Bank Transfer,10000.0,S006,Supplier 6,P001,Chemical Product A,28.0,10000.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,39636.71,39636.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,28772.91,28772.91,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,46809.94,46809.94,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,127.91932975999998,127.91932975999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103004,Sale,2024-01-03,2024-01-03,12808.37,12808.37,,,Unpaid,,10000.0,,,P001,Chemical Product A,1.0,12808.37,Account Receviable,,,C007,640.42,12167.95,10000.0,2808.370000000001
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,8395.01,8395.01,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,21468.87,21468.87,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,127.91932975999998,127.91932975999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104005,Sale,2024-01-04,2024-01-04,110304.98,110304.98,,,Paid,,100000.0,,,P004,Chemical Product D,1.0,110304.98,Cash,,,C004,5515.25,104789.73,100000.0,10304.979999999996
Sale20240104006,Sale,2024-01-04,2024-01-04,261696.18,261696.18,,,Paid,,100000.0,,,P004,Chemical Product D,2.0,130848.09,Cash,,,C007,13084.81,248611.37,200000.0,61696.17999999999
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1200000.0,1200000.0,Director,Supervisor,Paid,Cash,50000.0,S005,Supplier 5,P003,Chemical Product C,24.0,50000.0,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,10431.27,10431.27,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,29306.91,29306.91,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,33363.42,33363.42,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,38768.59,38768.59,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,127.91932975999998,127.91932975999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105008,Sale,2024-01-05,2024-01-05,114973.05,114973.05,,,Paid,,20000.0,,,P002,Chemical Product B,5.0,22994.61,Cash,,,C019,5748.65,109224.4,100000.0,14973.050000000003
Sale20240105009,Sale,2024-01-05,2024-01-05,33923.61,33923.61,,,Paid,,10000.0,,,P001,Chemical Product A,3.0,11307.87,Cash,,,C011,1696.18,32227.43,30000.0,3923.6100000000006
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,5334.06,5334.06,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,46201.38,46201.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,41709.07,41709.07,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,127.91932975999998,127.91932975999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106010,Sale,2024-01-06,2024-01-06,110506.16,110506.16,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,27626.54,Cash,,,C020,5525.31,104980.85,80000.0,30506.160000000003
Sale20240106011,Sale,2024-01-06,2024-01-06,33339.15,33339.15,,,Paid,,10000.0,,,P001,Chemical Product A,3.0,11113.05,Cash,,,C012,1666.96,31672.19,30000.0,3339.1500000000015
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,39247.55,39247.55,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,38482.99,38482.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,37429.99,37429.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,127.91932975999998,127.91932975999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107013,Sale,2024-01-07,2024-01-07,44362.4,44362.4,,,Unpaid,,20000.0,,,P002,Chemical Product B,2.0,22181.2,Account Receviable,,,C002,2218.12,42144.28,40000.0,4362.4000000000015
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,21623.3,21623.3,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,25265.54,25265.54,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,30216.87,30216.87,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,20581.68,20581.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,127.91932975999998,127.91932975999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108015,Sale,2024-01-08,2024-01-08,382514.73,382514.73,,,Unpaid,,100000.0,,,P004,Chemical Product D,3.0,127504.91,Account Receviable,,,C012,19125.74,363388.99,300000.0,82514.72999999998
Sale20240108016,Sale,2024-01-08,2024-01-08,535393.08,535393.08,,,Paid,,100000.0,,,P004,Chemical Product D,4.0,133848.27,Cash,,,C019,26769.65,508623.43,400000.0,135393.07999999996
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,474959.83,474959.83,,,Paid,Bank Transfer,,S007,Supplier 7,,,,,,Processing Equipment5,Processing Equipment,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,2700000.0,2700000.0,Director,Supervisor,Unpaid,Account Payable,100000.0,S001,Supplier 1,P004,Chemical Product D,27.0,100000.0,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,17423.33,17423.33,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,7824.83,7824.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,8616.21,8616.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,49269.0,49269.0,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109018,Sale,2024-01-09,2024-01-09,189573.99,189573.99,,,Unpaid,,50000.0,,,P003,Chemical Product C,3.0,63191.33,Account Receviable,,,C015,9478.7,180095.29,150000.0,39573.98999999999
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,42647.17,42647.17,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,45556.32,45556.32,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,37593.05,37593.05,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,17609.13,17609.13,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240110019,Sale,2024-01-10,2024-01-10,305008.1,305008.1,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,61001.62,Cash,,,C003,15250.4,289757.7,250000.0,55008.09999999998
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,11440.04,11440.04,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,49384.5,49384.5,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,47760.71,47760.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,7159.99,7159.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,7426.35,7426.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240112020,Sale,2024-01-12,2024-01-12,51511.56,51511.56,,,Paid,,10000.0,,,P001,Chemical Product A,4.0,12877.89,Cash,,,C014,2575.58,48935.98,40000.0,11511.559999999998
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,40667.19,40667.19,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Financial Expenses,2024-01-12,2024-01-12,49563.95,49563.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,7991.4,7991.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,20561.68,20561.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240113021,Sale,2024-01-13,2024-01-13,304821.85,304821.85,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,60964.37,Cash,,,C011,15241.09,289580.76,250000.0,54821.84999999998
Sale20240113022,Sale,2024-01-13,2024-01-13,111954.68,111954.68,,,Unpaid,,20000.0,,,P002,Chemical Product B,4.0,27988.67,Account Receviable,,,C012,5597.73,106356.95,80000.0,31954.679999999993
Purchase20231231006,Purchase,2023-12-31,2023-12-31,520000.0,520000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S001,Supplier 1,P002,Chemical Product B,26.0,20000.0,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,27093.82,27093.82,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Financial Expenses,2024-01-13,2024-01-13,21894.83,21894.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,39.36790488999998,39.36790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240114024,Sale,2024-01-14,2024-01-14,671035.1,671035.1,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,134207.02,Account Receviable,,,C018,33551.75,637483.35,500000.0,171035.09999999998
Purchase20231231007,Purchase,2023-12-31,2023-12-31,1300000.0,1300000.0,Director,Supervisor,Paid,Bank Transfer,50000.0,S007,Supplier 7,P003,Chemical Product C,26.0,50000.0,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,16206.96,16206.96,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,13631.77,13631.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,41266.68,41266.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,36256.39,36256.39,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,-31.83209511000002,-31.83209511000002,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240115026,Sale,2024-01-15,2024-01-15,23604.58,23604.58,,,Unpaid,,10000.0,,,P001,Chemical Product A,2.0,11802.29,Account Receviable,,,C002,1180.23,22424.35,20000.0,3604.5800000000017
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,26422.97,26422.97,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
