id,type,date,recorded_date,amount,recorded_amount,payment/receipt_status,payment_method,approver,preparer,receive_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,12654.4,12654.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45756.35,45756.35,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Unpaid,Account Payable,Director,Staff,,20000.0,S008,Supplier 8,S003,Premium Consulting,3.0,20000.0,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Paid,Bank Transfer,Director,Supervisor,,100000.0,S002,Supplier 2,S004,Enterprise Solution,1.0,100000.0,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,4436.41,4436.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,436.09999999999997,436.09999999999997,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240103002,Sale,2024-01-03,2024-01-03,42365.71,42365.71,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,42365.71,C010,2118.29,40247.42,20000.0,22365.71
Sale20240103003,Sale,2024-01-03,2024-01-03,210203.88,210203.88,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,210203.88,C010,10510.19,199693.69,100000.0,110203.88
Purchase20231231003,Purchase,2023-12-31,2023-12-31,3000.0,3000.0,Paid,Bank Transfer,Director,Staff,,1000.0,S003,Supplier 3,S001,Basic Consulting,3.0,1000.0,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,6868.64,6868.64,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,435.83299999999997,435.83299999999997,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,5000.0,5000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S002,Supplier 2,S002,Standard Consulting,1.0,5000.0,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,11000.54,11000.54,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,7711.09,7711.09,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,435.388,435.388,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240105007,Sale,2024-01-05,2024-01-05,14282.89,14282.89,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14282.89,C016,714.14,13568.75,5000.0,9282.89
Sale20240105008,Sale,2024-01-05,2024-01-05,57947.08,57947.08,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57947.08,C002,2897.35,55049.73,20000.0,37947.08
Sale20240105009,Sale,2024-01-05,2024-01-05,2074.66,2074.66,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2074.66,C015,103.73,1970.93,1000.0,1074.6599999999999
Purchase20231231005,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S003,Supplier 3,S002,Standard Consulting,3.0,5000.0,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Unpaid,Account Payable,Director,Supervisor,,20000.0,S008,Supplier 8,S003,Premium Consulting,3.0,20000.0,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,10108.46,10108.46,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240106010,Sale,2024-01-06,2024-01-06,9788.79,9788.79,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9788.79,C002,489.44,9299.35,5000.0,4788.790000000001
Sale20240106011,Sale,2024-01-06,2024-01-06,2971.81,2971.81,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2971.81,C004,148.59,2823.22,1000.0,1971.81
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,12123.55,12123.55,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240107013,Sale,2024-01-07,2024-01-07,2160.53,2160.53,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2160.53,C004,108.03,2052.5,1000.0,1160.5300000000002
Sale20240107014,Sale,2024-01-07,2024-01-07,43879.89,43879.89,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,43879.89,C017,2193.99,41685.9,20000.0,23879.89
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,7572.85,7572.85,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240108015,Sale,2024-01-08,2024-01-08,53770.35,53770.35,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,53770.35,C006,2688.52,51081.83,20000.0,33770.35
Purchase20231231007,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Unpaid,Account Payable,Director,Supervisor,,5000.0,S003,Supplier 3,S002,Standard Consulting,2.0,5000.0,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,9907.39,9907.39,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,19859.78,19859.78,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Paid,Bank Transfer,Director,Staff,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,7508.13,7508.13,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,13154.69,13154.69,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,4915.48,4915.48,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,4177.41,4177.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,7460.0,7460.0,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240112018,Sale,2024-01-12,2024-01-12,9794.76,9794.76,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9794.76,C005,489.74,9305.02,5000.0,4794.76
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,18414.02,18414.02,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,3585.9,3585.9,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Paid,Cash,Director,Staff,,20000.0,S003,Supplier 3,S003,Premium Consulting,1.0,20000.0,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,16185.43,16185.43,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240114001,Financial Expenses,2024-01-14,2024-01-14,5969.48,5969.48,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240115020,Sale,2024-01-15,2024-01-15,10791.32,10791.32,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,10791.32,C014,539.57,10251.75,5000.0,5791.32
Sale20240115021,Sale,2024-01-15,2024-01-15,41521.81,41521.81,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,41521.81,C011,2076.09,39445.72,20000.0,21521.809999999998
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,6244.69,6244.69,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,5000.0,5000.0,Paid,Cash,Director,Staff,,5000.0,S007,Supplier 7,S002,Standard Consulting,1.0,5000.0,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,12813.32,12813.32,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240117024,Sale,2024-01-17,2024-01-17,220256.39,220256.39,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,220256.39,C009,11012.82,209243.57,100000.0,120256.39000000001
Sale20240117025,Sale,2024-01-17,2024-01-17,59992.23,59992.23,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,59992.23,C001,2999.61,56992.62,20000.0,39992.23
Sale20240117026,Sale,2024-01-17,2024-01-17,12449.82,12449.82,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,12449.82,C011,622.49,11827.33,5000.0,7449.82
Purchase20231231011,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Unpaid,Account Payable,Director,Supervisor,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,2926.59,2926.59,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240118028,Sale,2024-01-18,2024-01-18,57321.13,57321.13,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57321.13,C017,2866.06,54455.07,20000.0,37321.13
Sale20240118029,Sale,2024-01-18,2024-01-18,254654.8,254654.8,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,254654.8,C008,12732.74,241922.06,100000.0,154654.8
Purchase20231231012,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Paid,Cash,Director,Supervisor,,20000.0,S010,Supplier 10,S003,Premium Consulting,3.0,20000.0,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,19008.58,19008.58,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240119031,Sale,2024-01-19,2024-01-19,202361.1,202361.1,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,202361.1,C016,10118.06,192243.04,100000.0,102361.1
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,11284.89,11284.89,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240120033,Sale,2024-01-20,2024-01-20,9687.98,9687.98,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9687.98,C009,484.4,9203.58,5000.0,4687.98
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,2123.37,2123.37,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240121035,Sale,2024-01-21,2024-01-21,232916.62,232916.62,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,232916.62,C008,11645.83,221270.79,100000.0,132916.62
Sale20240121036,Sale,2024-01-21,2024-01-21,188606.93,188606.93,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,188606.93,C019,9430.35,179176.58,100000.0,88606.93
Purchase20231231013,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Paid,Bank Transfer,Director,Staff,,100000.0,S006,Supplier 6,S004,Enterprise Solution,2.0,100000.0,,,,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,2000.0,2000.0,Unpaid,Account Payable,Director,Staff,,1000.0,S007,Supplier 7,S001,Basic Consulting,2.0,1000.0,,,,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,12565.83,12565.83,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,389.553,389.553,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,15726.52,15726.52,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,389.553,389.553,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240123039,Sale,2024-01-23,2024-01-23,48078.98,48078.98,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,48078.98,C002,2403.95,45675.03,20000.0,28078.980000000003
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,19716.14,19716.14,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,17357.32,17357.32,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,389.553,389.553,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240124041,Sale,2024-01-24,2024-01-24,12006.12,12006.12,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,12006.12,C006,600.31,11405.81,5000.0,7006.120000000001
Purchase20231231015,Purchase,2023-12-31,2023-12-31,3000.0,3000.0,Paid,Cash,Director,Staff,,1000.0,S007,Supplier 7,S001,Basic Consulting,3.0,1000.0,,,,,
Expense20240124001,Sales Expenses,2024-01-24,2024-01-24,6631.17,6631.17,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,389.553,389.553,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Unpaid,Account Payable,Director,Supervisor,,20000.0,S001,Supplier 1,S003,Premium Consulting,2.0,20000.0,,,,,
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,14323.57,14323.57,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,389.553,389.553,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240126044,Sale,2024-01-26,2024-01-26,52600.07,52600.07,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,52600.07,C014,2630.0,49970.07,20000.0,32600.07
Sale20240126045,Sale,2024-01-26,2024-01-26,218551.72,218551.72,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,218551.72,C008,10927.59,207624.13,100000.0,118551.72
Sale20240126046,Sale,2024-01-26,2024-01-26,49951.71,49951.71,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,49951.71,C001,2497.59,47454.12,20000.0,29951.71
Purchase20231231017,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Paid,Bank Transfer,Director,Supervisor,,5000.0,S004,Supplier 4,S002,Standard Consulting,2.0,5000.0,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,9100.16,9100.16,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,388.66299999999995,388.66299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231018,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S008,Supplier 8,S002,Standard Consulting,3.0,5000.0,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,9621.68,9621.68,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,19426.3,19426.3,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240128050,Sale,2024-01-28,2024-01-28,11095.98,11095.98,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,11095.98,C006,554.8,10541.18,5000.0,6095.98
Sale20240128051,Sale,2024-01-28,2024-01-28,40096.08,40096.08,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,40096.08,C011,2004.8,38091.28,20000.0,20096.08
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,13993.02,13993.02,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240129053,Sale,2024-01-29,2024-01-29,2994.1,2994.1,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2994.1,C002,149.71,2844.39,1000.0,1994.1
Sale20240129054,Sale,2024-01-29,2024-01-29,13434.22,13434.22,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,13434.22,C019,671.71,12762.51,5000.0,8434.22
Expense20240129001,Administrative Expenses,2024-01-29,2024-01-29,7955.72,7955.72,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240130055,Sale,2024-01-30,2024-01-30,55638.81,55638.81,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,55638.81,C004,2781.94,52856.87,20000.0,35638.81
Purchase20231231019,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Paid,Cash,Director,Staff,,20000.0,S003,Supplier 3,S003,Premium Consulting,3.0,20000.0,,,,,
Expense20240130001,Sales Expenses,2024-01-30,2024-01-30,11094.48,11094.48,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240131057,Sale,2024-01-31,2024-01-31,56577.75,56577.75,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,56577.75,C010,2828.89,53748.86,20000.0,36577.75
Sale20240131058,Sale,2024-01-31,2024-01-31,13921.69,13921.69,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,13921.69,C009,696.08,13225.61,5000.0,8921.69
Sale20240131059,Sale,2024-01-31,2024-01-31,276920.02,276920.02,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,276920.02,C004,13846.0,263074.02,100000.0,176920.02000000002
Expense20240131001,Financial Expenses,2024-01-31,2024-01-31,9242.6,9242.6,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240131001,Sales Expenses,2024-01-31,2024-01-31,11900.64,11900.64,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240201061,Sale,2024-02-01,2024-02-01,2061.6,2061.6,Paid,,,,Cash,1000.0,,,S001,Basic Consulting,1.0,2061.6,C017,103.08,1958.52,1000.0,1061.6
Purchase20231231020,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Paid,Cash,Director,Staff,,20000.0,S001,Supplier 1,S003,Premium Consulting,1.0,20000.0,,,,,
Expense20240201001,Sales Expenses,2024-02-01,2024-02-01,12013.19,12013.19,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,45752.899999999994,45752.899999999994,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240202063,Sale,2024-02-02,2024-02-02,195343.26,195343.26,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,195343.26,C005,9767.16,185576.1,100000.0,95343.26000000001
Sale20240202064,Sale,2024-02-02,2024-02-02,13709.42,13709.42,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,13709.42,C003,685.47,13023.95,5000.0,8709.42
Sale20240202065,Sale,2024-02-02,2024-02-02,10969.01,10969.01,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,10969.01,C007,548.45,10420.56,5000.0,5969.01
Expense20240202001,Administrative Expenses,2024-02-02,2024-02-02,14057.62,14057.62,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240203066,Sale,2024-02-03,2024-02-03,2658.79,2658.79,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2658.79,C019,132.94,2525.85,1000.0,1658.79
Sale20240203067,Sale,2024-02-03,2024-02-03,2842.5,2842.5,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2842.5,C012,142.12,2700.38,1000.0,1842.5
Sale20240203068,Sale,2024-02-03,2024-02-03,2734.78,2734.78,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2734.78,C001,136.74,2598.04,1000.0,1734.7800000000002
Purchase20231231021,Purchase,2023-12-31,2023-12-31,3000.0,3000.0,Unpaid,Account Payable,Director,Staff,,1000.0,S002,Supplier 2,S001,Basic Consulting,3.0,1000.0,,,,,
Expense20240203001,Administrative Expenses,2024-02-03,2024-02-03,8643.3,8643.3,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240203001,Financial Expenses,2024-02-03,2024-02-03,12974.91,12974.91,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,387.328,387.328,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240204069,Sale,2024-02-04,2024-02-04,44816.04,44816.04,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,44816.04,C005,2240.8,42575.24,20000.0,24816.04
Sale20240204070,Sale,2024-02-04,2024-02-04,2757.29,2757.29,Paid,,,,Cash,1000.0,,,S001,Basic Consulting,1.0,2757.29,C016,137.86,2619.43,1000.0,1757.29
Purchase20231231022,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Unpaid,Account Payable,Director,Supervisor,,5000.0,S001,Supplier 1,S002,Standard Consulting,2.0,5000.0,,,,,
Purchase20231231023,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Paid,Bank Transfer,Director,Supervisor,,20000.0,S003,Supplier 3,S003,Premium Consulting,3.0,20000.0,,,,,
Expense20240204001,Financial Expenses,2024-02-04,2024-02-04,11987.62,11987.62,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,381.988,381.988,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240205001,Administrative Expenses,2024-02-05,2024-02-05,18051.31,18051.31,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,381.988,381.988,Unpaid,,,,Interest receviable,,,,,,,,,,,,
