id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Purchase20231231009,Purchase,2023-12-31,80000.0,Director,Staff,Paid,10000.0,Cash,S007,Supplier 7,P002,Premium Product B,8.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $10000.00, totaling $80000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240111001,Administrative Expenses,2024-01-11,11888.13,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $11888.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,22411.89,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $22411.89. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240111001,Financial Expenses,2024-01-11,21229.14,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $21229.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112036,Sale,2024-01-12,35776.53,,,Unpaid,20000.0,,,,P003,Premium Product C,1.0,35776.53,Account Receviable,C020,1788.83,33987.7,20000.0,15776.53,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $35776.53, totaling $35776.53. The cost amount for this transaction was $20000.00, with a tax amount of $1788.83, leading to a total amount due of $33987.70. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240112037,Sale,2024-01-12,34649.63,,,Unpaid,20000.0,,,,P003,Premium Product C,1.0,34649.63,Account Receviable,C018,1732.48,32917.15,20000.0,14649.63,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $34649.63, totaling $34649.63. The cost amount for this transaction was $20000.00, with a tax amount of $1732.48, leading to a total amount due of $32917.15. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240112038,Sale,2024-01-12,113181.93,,,Paid,20000.0,,,,P003,Premium Product C,3.0,37727.31,Cash,C006,5659.1,107522.83,60000.0,53181.93,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $37727.31, totaling $113181.93. The cost amount for this transaction was $60000.00, with a tax amount of $5659.10, leading to a total amount due of $107522.83. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231010,Purchase,2023-12-31,500000.0,Director,Staff,Paid,50000.0,Bank Transfer,S006,Supplier 6,P004,Premium Product D,10.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $50000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240112001,Financial Expenses,2024-01-12,24321.46,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $24321.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Sales Expenses,2024-01-12,9797.6,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $9797.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240112001,Sales Expenses,2024-01-12,16177.79,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $16177.79. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,371.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $371.58. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113041,Sale,2024-01-13,90831.99,,,Paid,50000.0,,,,P004,Premium Product D,1.0,90831.99,Cash,C013,4541.6,86290.39,50000.0,40831.99,,,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $90831.99, totaling $90831.99. The cost amount for this transaction was $50000.00, with a tax amount of $4541.60, leading to a total amount due of $86290.39. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240113042,Sale,2024-01-13,36413.56,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18206.78,Cash,C011,1820.68,34592.88,20000.0,16413.56,,,"On January 13, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18206.78, totaling $36413.56. The cost amount for this transaction was $20000.00, with a tax amount of $1820.68, leading to a total amount due of $34592.88. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240113043,Sale,2024-01-13,56856.45,,,Paid,10000.0,,,,P002,Premium Product B,3.0,18952.15,Cash,C003,2842.82,54013.63,30000.0,26856.45,,,"On January 13, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $18952.15, totaling $56856.45. The cost amount for this transaction was $30000.00, with a tax amount of $2842.82, leading to a total amount due of $54013.63. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240113001,Sales Expenses,2024-01-13,25170.68,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $25170.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240113001,Financial Expenses,2024-01-13,25847.64,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Financial Expenses, totaling $25847.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240113001,Sales Expenses,2024-01-13,5806.03,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $5806.03. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,371.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $371.58. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240114046,Sale,2024-01-14,9378.67,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,9378.67,Account Receviable,C006,468.93,8909.74,5000.0,4378.67,,,"On January 14, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9378.67, totaling $9378.67. The cost amount for this transaction was $5000.00, with a tax amount of $468.93, leading to a total amount due of $8909.74. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240114047,Sale,2024-01-14,117413.01,,,Paid,20000.0,,,,P003,Premium Product C,3.0,39137.67,Cash,C014,5870.65,111542.36,60000.0,57413.01,,,"On January 14, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $39137.67, totaling $117413.01. The cost amount for this transaction was $60000.00, with a tax amount of $5870.65, leading to a total amount due of $111542.36. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240114048,Sale,2024-01-14,171599.94,,,Unpaid,50000.0,,,,P004,Premium Product D,2.0,85799.97,Account Receviable,C001,8580.0,163019.94,100000.0,71599.94,,,"On January 14, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $85799.97, totaling $171599.94. The cost amount for this transaction was $100000.00, with a tax amount of $8580.00, leading to a total amount due of $163019.94. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231011,Purchase,2023-12-31,160000.0,Director,Supervisor,Paid,20000.0,Cash,S003,Supplier 3,P003,Premium Product C,8.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $20000.00, totaling $160000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240114001,Sales Expenses,2024-01-14,19807.67,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Sales Expenses, totaling $19807.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240114001,Administrative Expenses,2024-01-14,29829.23,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $29829.23. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240114001,Administrative Expenses,2024-01-14,6448.24,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $6448.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,371.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $371.58. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240115050,Sale,2024-01-15,8654.65,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,8654.65,Account Receviable,C008,432.73,8221.92,5000.0,3654.65,,,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8654.65, totaling $8654.65. The cost amount for this transaction was $5000.00, with a tax amount of $432.73, leading to a total amount due of $8221.92. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240115051,Sale,2024-01-15,294287.22,,,Paid,50000.0,,,,P004,Premium Product D,3.0,98095.74,Cash,C002,14714.36,279572.86,150000.0,144287.22,,,"On January 15, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $98095.74, totaling $294287.22. The cost amount for this transaction was $150000.00, with a tax amount of $14714.36, leading to a total amount due of $279572.86. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240115052,Sale,2024-01-15,19890.08,,,Paid,10000.0,,,,P002,Premium Product B,1.0,19890.08,Cash,C007,994.5,18895.58,10000.0,9890.08,,,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $19890.08, totaling $19890.08. The cost amount for this transaction was $10000.00, with a tax amount of $994.50, leading to a total amount due of $18895.58. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240115053,Sale,2024-01-15,35911.54,,,Unpaid,10000.0,,,,P002,Premium Product B,2.0,17955.77,Account Receviable,C001,1795.58,34115.96,20000.0,15911.54,,,"On January 15, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $17955.77, totaling $35911.54. The cost amount for this transaction was $20000.00, with a tax amount of $1795.58, leading to a total amount due of $34115.96. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231012,Purchase,2023-12-31,60000.0,Director,Senior Staff,Paid,10000.0,Bank Transfer,S005,Supplier 5,P002,Premium Product B,6.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $10000.00, totaling $60000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240115001,Sales Expenses,2024-01-15,29376.5,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $29376.50. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240115001,Financial Expenses,2024-01-15,14371.43,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Financial Expenses, totaling $14371.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240116055,Sale,2024-01-16,73421.4,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,36710.7,Account Receviable,C011,3671.07,69750.33,40000.0,33421.4,,,"On January 16, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $36710.70, totaling $73421.40. The cost amount for this transaction was $40000.00, with a tax amount of $3671.07, leading to a total amount due of $69750.33. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240116056,Sale,2024-01-16,75197.88,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,37598.94,Account Receviable,C009,3759.89,71437.99,40000.0,35197.88,,,"On January 16, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $37598.94, totaling $75197.88. The cost amount for this transaction was $40000.00, with a tax amount of $3759.89, leading to a total amount due of $71437.99. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240116057,Sale,2024-01-16,17714.56,,,Paid,10000.0,,,,P002,Premium Product B,1.0,17714.56,Cash,C010,885.73,16828.83,10000.0,7714.56,,,"On January 16, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $17714.56, totaling $17714.56. The cost amount for this transaction was $10000.00, with a tax amount of $885.73, leading to a total amount due of $16828.83. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240116058,Sale,2024-01-16,118848.96,,,Paid,20000.0,,,,P003,Premium Product C,3.0,39616.32,Cash,C018,5942.45,112906.51,60000.0,58848.96,,,"On January 16, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $39616.32, totaling $118848.96. The cost amount for this transaction was $60000.00, with a tax amount of $5942.45, leading to a total amount due of $112906.51. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231013,Purchase,2023-12-31,140000.0,Director,Supervisor,Unpaid,20000.0,Account Payable,S008,Supplier 8,P003,Premium Product C,7.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 7.0 units at a unit price of $20000.00, totaling $140000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240116001,Sales Expenses,2024-01-16,9539.83,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $9539.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240116001,Sales Expenses,2024-01-16,23251.04,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $23251.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240116001,Administrative Expenses,2024-01-16,16740.11,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Administrative Expenses, totaling $16740.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240117061,Sale,2024-01-17,18612.68,,,Paid,5000.0,,,,P001,Premium Product A,2.0,9306.34,Cash,C006,930.63,17682.05,10000.0,8612.68,,,"On January 17, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $9306.34, totaling $18612.68. The cost amount for this transaction was $10000.00, with a tax amount of $930.63, leading to a total amount due of $17682.05. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240117062,Sale,2024-01-17,36238.8,,,Paid,20000.0,,,,P003,Premium Product C,1.0,36238.8,Cash,C010,1811.94,34426.86,20000.0,16238.8,,,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $36238.80, totaling $36238.80. The cost amount for this transaction was $20000.00, with a tax amount of $1811.94, leading to a total amount due of $34426.86. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240117063,Sale,2024-01-17,176278.96,,,Paid,50000.0,,,,P004,Premium Product D,2.0,88139.48,Cash,C002,8813.95,167465.01,100000.0,76278.96,,,"On January 17, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $88139.48, totaling $176278.96. The cost amount for this transaction was $100000.00, with a tax amount of $8813.95, leading to a total amount due of $167465.01. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240117001,Financial Expenses,2024-01-17,17890.86,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Financial Expenses, totaling $17890.86. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240117001,Sales Expenses,2024-01-17,20377.67,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Sales Expenses, totaling $20377.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118065,Sale,2024-01-18,74434.04,,,Paid,20000.0,,,,P003,Premium Product C,2.0,37217.02,Cash,C018,3721.7,70712.34,40000.0,34434.04,,,"On January 18, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $37217.02, totaling $74434.04. The cost amount for this transaction was $40000.00, with a tax amount of $3721.70, leading to a total amount due of $70712.34. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240118066,Sale,2024-01-18,37660.74,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18830.37,Cash,C006,1883.04,35777.7,20000.0,17660.74,,,"On January 18, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18830.37, totaling $37660.74. The cost amount for this transaction was $20000.00, with a tax amount of $1883.04, leading to a total amount due of $35777.70. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231014,Purchase,2023-12-31,400000.0,Director,Staff,Unpaid,50000.0,Account Payable,S007,Supplier 7,P004,Premium Product D,8.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $50000.00, totaling $400000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240118001,Financial Expenses,2024-01-18,12516.13,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Financial Expenses, totaling $12516.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240118001,Financial Expenses,2024-01-18,10393.45,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Financial Expenses, totaling $10393.45. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240118001,Financial Expenses,2024-01-18,6653.08,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Financial Expenses, totaling $6653.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119067,Sale,2024-01-19,9161.32,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,9161.32,Account Receviable,C018,458.07,8703.25,5000.0,4161.32,,,"On January 19, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9161.32, totaling $9161.32. The cost amount for this transaction was $5000.00, with a tax amount of $458.07, leading to a total amount due of $8703.25. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240119068,Sale,2024-01-19,29785.86,,,Paid,5000.0,,,,P001,Premium Product A,3.0,9928.62,Cash,C006,1489.29,28296.57,15000.0,14785.86,,,"On January 19, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $9928.62, totaling $29785.86. The cost amount for this transaction was $15000.00, with a tax amount of $1489.29, leading to a total amount due of $28296.57. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240119069,Sale,2024-01-19,34617.14,,,Paid,10000.0,,,,P002,Premium Product B,2.0,17308.57,Cash,C009,1730.86,32886.28,20000.0,14617.14,,,"On January 19, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $17308.57, totaling $34617.14. The cost amount for this transaction was $20000.00, with a tax amount of $1730.86, leading to a total amount due of $32886.28. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240119070,Sale,2024-01-19,37955.84,,,Unpaid,10000.0,,,,P002,Premium Product B,2.0,18977.92,Account Receviable,C001,1897.79,36058.05,20000.0,17955.84,,,"On January 19, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18977.92, totaling $37955.84. The cost amount for this transaction was $20000.00, with a tax amount of $1897.79, leading to a total amount due of $36058.05. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231015,Purchase,2023-12-31,30000.0,Director,Supervisor,Paid,5000.0,Cash,S005,Supplier 5,P001,Premium Product A,6.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $5000.00, totaling $30000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240119001,Sales Expenses,2024-01-19,11523.39,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Sales Expenses, totaling $11523.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240119001,Sales Expenses,2024-01-19,7597.54,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Sales Expenses, totaling $7597.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
