id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Interest20240119019,Interest Receivables,2024-01-19,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240120073,Sale,2024-01-20,76630.94,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,38315.47,Account Receviable,C008,3831.55,72799.39,40000.0,36630.94,,,"On January 20, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $38315.47, totaling $76630.94. The cost amount for this transaction was $40000.00, with a tax amount of $3831.55, leading to a total amount due of $72799.39. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240120001,Sales Expenses,2024-01-20,16665.55,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $16665.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240120001,Sales Expenses,2024-01-20,6944.55,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $6944.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240120001,Financial Expenses,2024-01-20,28954.07,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Financial Expenses, totaling $28954.07. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240121076,Sale,2024-01-21,36143.32,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18071.66,Cash,C016,1807.17,34336.15,20000.0,16143.32,,,"On January 21, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18071.66, totaling $36143.32. The cost amount for this transaction was $20000.00, with a tax amount of $1807.17, leading to a total amount due of $34336.15. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240121077,Sale,2024-01-21,261490.35,,,Paid,50000.0,,,,P004,Premium Product D,3.0,87163.45,Cash,C005,13074.52,248415.83,150000.0,111490.35,,,"On January 21, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $87163.45, totaling $261490.35. The cost amount for this transaction was $150000.00, with a tax amount of $13074.52, leading to a total amount due of $248415.83. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231016,Purchase,2023-12-31,30000.0,Director,Senior Staff,Unpaid,10000.0,Account Payable,S001,Supplier 1,P002,Premium Product B,3.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $10000.00, totaling $30000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240121001,Sales Expenses,2024-01-21,4951.13,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Sales Expenses, totaling $4951.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240121001,Sales Expenses,2024-01-21,22862.32,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Sales Expenses, totaling $22862.32. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240121021,Interest Receivables,2024-01-21,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 21, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240122080,Sale,2024-01-22,257505.69,,,Unpaid,50000.0,,,,P004,Premium Product D,3.0,85835.23,Account Receviable,C020,12875.28,244630.41,150000.0,107505.69,,,"On January 22, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $85835.23, totaling $257505.69. The cost amount for this transaction was $150000.00, with a tax amount of $12875.28, leading to a total amount due of $244630.41. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240122081,Sale,2024-01-22,177778.96,,,Paid,50000.0,,,,P004,Premium Product D,2.0,88889.48,Cash,C006,8888.95,168890.01,100000.0,77778.96,,,"On January 22, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $88889.48, totaling $177778.96. The cost amount for this transaction was $100000.00, with a tax amount of $8888.95, leading to a total amount due of $168890.01. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240122082,Sale,2024-01-22,88341.49,,,Paid,50000.0,,,,P004,Premium Product D,1.0,88341.49,Cash,C012,4417.07,83924.42,50000.0,38341.49,,,"On January 22, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $88341.49, totaling $88341.49. The cost amount for this transaction was $50000.00, with a tax amount of $4417.07, leading to a total amount due of $83924.42. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240122083,Sale,2024-01-22,39109.78,,,Paid,10000.0,,,,P002,Premium Product B,2.0,19554.89,Cash,C014,1955.49,37154.29,20000.0,19109.78,,,"On January 22, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $19554.89, totaling $39109.78. The cost amount for this transaction was $20000.00, with a tax amount of $1955.49, leading to a total amount due of $37154.29. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231017,Purchase,2023-12-31,350000.0,Director,Supervisor,Paid,50000.0,Cash,S003,Supplier 3,P004,Premium Product D,7.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 7.0 units at a unit price of $50000.00, totaling $350000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240122001,Sales Expenses,2024-01-22,4649.17,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Sales Expenses, totaling $4649.17. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240122001,Sales Expenses,2024-01-22,28930.22,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Sales Expenses, totaling $28930.22. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240122022,Interest Receivables,2024-01-22,366.23,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 22, 2024, an invoice was issued for a Interest Receivables, totaling $366.23. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240123086,Sale,2024-01-23,35569.85,,,Paid,20000.0,,,,P003,Premium Product C,1.0,35569.85,Cash,C008,1778.49,33791.36,20000.0,15569.85,,,"On January 23, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $35569.85, totaling $35569.85. The cost amount for this transaction was $20000.00, with a tax amount of $1778.49, leading to a total amount due of $33791.36. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240123087,Sale,2024-01-23,17076.87,,,Unpaid,10000.0,,,,P002,Premium Product B,1.0,17076.87,Account Receviable,C006,853.84,16223.03,10000.0,7076.87,,,"On January 23, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $17076.87, totaling $17076.87. The cost amount for this transaction was $10000.00, with a tax amount of $853.84, leading to a total amount due of $16223.03. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240123088,Sale,2024-01-23,105626.73,,,Paid,20000.0,,,,P003,Premium Product C,3.0,35208.91,Cash,C013,5281.34,100345.39,60000.0,45626.73,,,"On January 23, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $35208.91, totaling $105626.73. The cost amount for this transaction was $60000.00, with a tax amount of $5281.34, leading to a total amount due of $100345.39. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,352857.55,,,Paid,,Bank Transfer,S002,Supplier 2,,,,,,,,,,,Processing Equipment4,Processing Equipment,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $352857.55. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231018,Purchase,2023-12-31,60000.0,Director,Supervisor,Unpaid,10000.0,Account Payable,S010,Supplier 10,P002,Premium Product B,6.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $10000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240123001,Financial Expenses,2024-01-23,20209.44,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Financial Expenses, totaling $20209.44. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240123001,Financial Expenses,2024-01-23,7920.03,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Financial Expenses, totaling $7920.03. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240123001,Sales Expenses,2024-01-23,15038.02,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Sales Expenses, totaling $15038.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240123023,Interest Receivables,2024-01-23,334.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 23, 2024, an invoice was issued for a Interest Receivables, totaling $334.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240124090,Sale,2024-01-24,173347.72,,,Paid,50000.0,,,,P004,Premium Product D,2.0,86673.86,Cash,C015,8667.39,164680.33,100000.0,73347.72,,,"On January 24, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $86673.86, totaling $173347.72. The cost amount for this transaction was $100000.00, with a tax amount of $8667.39, leading to a total amount due of $164680.33. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240124091,Sale,2024-01-24,76538.96,,,Paid,20000.0,,,,P003,Premium Product C,2.0,38269.48,Cash,C009,3826.95,72712.01,40000.0,36538.96,,,"On January 24, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $38269.48, totaling $76538.96. The cost amount for this transaction was $40000.00, with a tax amount of $3826.95, leading to a total amount due of $72712.01. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240124092,Sale,2024-01-24,266310.81,,,Paid,50000.0,,,,P004,Premium Product D,3.0,88770.27,Cash,C006,13315.54,252995.27,150000.0,116310.81,,,"On January 24, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $88770.27, totaling $266310.81. The cost amount for this transaction was $150000.00, with a tax amount of $13315.54, leading to a total amount due of $252995.27. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231019,Purchase,2023-12-31,60000.0,Director,Staff,Unpaid,20000.0,Account Payable,S002,Supplier 2,P003,Premium Product C,3.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240124001,Sales Expenses,2024-01-24,28414.41,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Sales Expenses, totaling $28414.41. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240124001,Administrative Expenses,2024-01-24,14013.88,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Administrative Expenses, totaling $14013.88. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240124024,Interest Receivables,2024-01-24,334.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 24, 2024, an invoice was issued for a Interest Receivables, totaling $334.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240125094,Sale,2024-01-25,105017.58,,,Unpaid,20000.0,,,,P003,Premium Product C,3.0,35005.86,Account Receviable,C010,5250.88,99766.7,60000.0,45017.58,,,"On January 25, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $35005.86, totaling $105017.58. The cost amount for this transaction was $60000.00, with a tax amount of $5250.88, leading to a total amount due of $99766.70. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240125095,Sale,2024-01-25,36921.82,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18460.91,Cash,C005,1846.09,35075.73,20000.0,16921.82,,,"On January 25, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18460.91, totaling $36921.82. The cost amount for this transaction was $20000.00, with a tax amount of $1846.09, leading to a total amount due of $35075.73. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240125096,Sale,2024-01-25,8648.77,,,Paid,5000.0,,,,P001,Premium Product A,1.0,8648.77,Cash,C018,432.44,8216.33,5000.0,3648.77,,,"On January 25, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8648.77, totaling $8648.77. The cost amount for this transaction was $5000.00, with a tax amount of $432.44, leading to a total amount due of $8216.33. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240125097,Sale,2024-01-25,86533.38,,,Paid,50000.0,,,,P004,Premium Product D,1.0,86533.38,Cash,C020,4326.67,82206.71,50000.0,36533.38,,,"On January 25, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $86533.38, totaling $86533.38. The cost amount for this transaction was $50000.00, with a tax amount of $4326.67, leading to a total amount due of $82206.71. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231020,Purchase,2023-12-31,350000.0,Director,Staff,Unpaid,50000.0,Account Payable,S004,Supplier 4,P004,Premium Product D,7.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 7.0 units at a unit price of $50000.00, totaling $350000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240125001,Sales Expenses,2024-01-25,8149.08,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Sales Expenses, totaling $8149.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240125001,Sales Expenses,2024-01-25,22205.08,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Sales Expenses, totaling $22205.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240125001,Sales Expenses,2024-01-25,21106.73,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Sales Expenses, totaling $21106.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240125025,Interest Receivables,2024-01-25,334.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 25, 2024, an invoice was issued for a Interest Receivables, totaling $334.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240126101,Sale,2024-01-26,19338.67,,,Paid,10000.0,,,,P002,Premium Product B,1.0,19338.67,Cash,C013,966.93,18371.74,10000.0,9338.67,,,"On January 26, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $19338.67, totaling $19338.67. The cost amount for this transaction was $10000.00, with a tax amount of $966.93, leading to a total amount due of $18371.74. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240126102,Sale,2024-01-26,286885.38,,,Paid,50000.0,,,,P004,Premium Product D,3.0,95628.46,Cash,C006,14344.27,272541.11,150000.0,136885.38,,,"On January 26, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $95628.46, totaling $286885.38. The cost amount for this transaction was $150000.00, with a tax amount of $14344.27, leading to a total amount due of $272541.11. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240126103,Sale,2024-01-26,9865.43,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,9865.43,Account Receviable,C009,493.27,9372.16,5000.0,4865.43,,,"On January 26, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9865.43, totaling $9865.43. The cost amount for this transaction was $5000.00, with a tax amount of $493.27, leading to a total amount due of $9372.16. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231021,Purchase,2023-12-31,100000.0,Director,Staff,Unpaid,20000.0,Account Payable,S007,Supplier 7,P003,Premium Product C,5.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 5.0 units at a unit price of $20000.00, totaling $100000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240126001,Financial Expenses,2024-01-26,7005.37,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Financial Expenses, totaling $7005.37. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240126001,Sales Expenses,2024-01-26,19525.1,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Sales Expenses, totaling $19525.10. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240126026,Interest Receivables,2024-01-26,334.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 26, 2024, an invoice was issued for a Interest Receivables, totaling $334.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240127105,Sale,2024-01-27,295661.79,,,Paid,50000.0,,,,P004,Premium Product D,3.0,98553.93,Cash,C010,14783.09,280878.7,150000.0,145661.79,,,"On January 27, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $98553.93, totaling $295661.79. The cost amount for this transaction was $150000.00, with a tax amount of $14783.09, leading to a total amount due of $280878.70. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240127106,Sale,2024-01-27,98343.59,,,Paid,50000.0,,,,P004,Premium Product D,1.0,98343.59,Cash,C013,4917.18,93426.41,50000.0,48343.59,,,"On January 27, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $98343.59, totaling $98343.59. The cost amount for this transaction was $50000.00, with a tax amount of $4917.18, leading to a total amount due of $93426.41. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231022,Purchase,2023-12-31,120000.0,Director,Staff,Paid,20000.0,Bank Transfer,S003,Supplier 3,P003,Premium Product C,6.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $20000.00, totaling $120000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240127001,Financial Expenses,2024-01-27,22565.02,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Financial Expenses, totaling $22565.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240127001,Sales Expenses,2024-01-27,21535.55,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Sales Expenses, totaling $21535.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240127001,Administrative Expenses,2024-01-27,15913.3,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Administrative Expenses, totaling $15913.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240127027,Interest Receivables,2024-01-27,324.15,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 27, 2024, an invoice was issued for a Interest Receivables, totaling $324.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240128108,Sale,2024-01-28,89586.63,,,Unpaid,50000.0,,,,P004,Premium Product D,1.0,89586.63,Account Receviable,C010,4479.33,85107.3,50000.0,39586.63,,,"On January 28, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $89586.63, totaling $89586.63. The cost amount for this transaction was $50000.00, with a tax amount of $4479.33, leading to a total amount due of $85107.30. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240128109,Sale,2024-01-28,8746.55,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,8746.55,Account Receviable,C001,437.33,8309.22,5000.0,3746.55,,,"On January 28, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8746.55, totaling $8746.55. The cost amount for this transaction was $5000.00, with a tax amount of $437.33, leading to a total amount due of $8309.22. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240128110,Sale,2024-01-28,38693.93,,,Paid,20000.0,,,,P003,Premium Product C,1.0,38693.93,Cash,C004,1934.7,36759.23,20000.0,18693.93,,,"On January 28, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $38693.93, totaling $38693.93. The cost amount for this transaction was $20000.00, with a tax amount of $1934.70, leading to a total amount due of $36759.23. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240128111,Sale,2024-01-28,51298.56,,,Paid,10000.0,,,,P002,Premium Product B,3.0,17099.52,Cash,C017,2564.93,48733.63,30000.0,21298.56,,,"On January 28, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $17099.52, totaling $51298.56. The cost amount for this transaction was $30000.00, with a tax amount of $2564.93, leading to a total amount due of $48733.63. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240128001,Sales Expenses,2024-01-28,27817.09,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Sales Expenses, totaling $27817.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240128001,Sales Expenses,2024-01-28,21561.32,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Sales Expenses, totaling $21561.32. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240128001,Sales Expenses,2024-01-28,6698.63,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Sales Expenses, totaling $6698.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240128028,Interest Receivables,2024-01-28,324.15,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 28, 2024, an invoice was issued for a Interest Receivables, totaling $324.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
